Block,Measurement,Design,Estimate,95% CI,N,Clusters,Inference method,p
Pooled common-FE estimand (reproduced),Cyanobacteria minus chlorophyll-a,"Common-FE interaction, Bloom season; τ permuted within year",1.0351,0.7114 to 1.3588,288 stacked (144 weir-years),16,"Randomization inference, 4,999 permutations",RI p = 0.0002
Pooled common-FE estimand (reproduced),Cyanobacteria minus chlorophyll-a,"Common-FE interaction, Bloom season; τ permuted within basin-by-year",1.0351,0.6932 to 1.3769,288 stacked (144 weir-years),16,"Randomization inference, 4,999 permutations",RI p = 0.0262
Hydrologic robustness,Cyanobacteria minus chlorophyll-a,"Annual, adjusted for discharge and water temperature",0.7236,0.4658 to 0.9814,288 stacked (144 weir-years),16,Weir-clustered CI; randomization inference within year,RI p = 0.0002
Hydrologic robustness,Cyanobacteria minus chlorophyll-a,"Bloom season, adjusted for discharge and water temperature",0.8572,0.6560 to 1.0584,288 stacked (144 weir-years),16,Weir-clustered CI; randomization inference within year,RI p = 0.0002
Hydrologic robustness,Cyanobacteria minus chlorophyll-a,"Annual, low-flow-flagged weir-years excluded",0.7093,0.4579 to 0.9608,230 stacked (115 weir-years),16,Weir-clustered CI; randomization inference within year,RI p = 0.0002
Hydrologic decomposition,Storage × endpoint (τ removed),"Annual, endpoint-interacted decomposition",0.6532,0.2782 to 1.0281,288 stacked (144 weir-years),16,Weir-clustered CI,cluster p = 0.0021
Hydrologic decomposition,Discharge × endpoint (τ removed),"Annual, endpoint-interacted decomposition",0.1910,−0.0843 to 0.4664,288 stacked (144 weir-years),16,Weir-clustered CI,cluster p = 0.1599
Optical index endpoint difference,"Spearman(NDCI, chlorophyll-a) − Spearman(NDCI, cyanobacteria)","Annual, pooled across weir-years",0.5108,0.1315 to 0.9170,142 weir-years,16,"Exact paired sign-flip, 65,536 patterns; weir-cluster bootstrap CI",exact p = 0.030975
Optical index endpoint difference,Within-weir component,Annual decomposition of the same difference,−0.0178,—,142 weir-years,16,Descriptive decomposition,—
Optical index endpoint difference,Between-weir component,Annual decomposition of the same difference,0.6559,—,16 weirs,16,Descriptive decomposition,—
Sampling-frame envelope,"Pooled Landsat NDVI effect, 8 mask variants",Exact assignment sign-flip; Student-t intervals,+0.0125 to −0.0012,all 8 intervals include zero,13–16 pairs per variant,16,"Exact sign-flip (8,192–65,536 patterns); one-sample Student-t intervals",smallest one-sided p = 0.141
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Within-weir percentile midrank (primary), ±1 day 2017–2025",0.0473,−0.0355 to 0.1504,756 matched pairs,13,"Paired-weir percentile bootstrap, 3,000 draws; intervals primary",not computed
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Raw within-weir Pearson, ±1 day 2017–2025",0.0732,−0.0252 to 0.2015,756 matched pairs,13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Site × calendar month Pearson, ±1 day 2017–2025",0.2410,0.1349 to 0.3599,756 matched pairs,13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Primary specification, nested sensitivity: ±1 day 2019–2025",0.0715,−0.0313 to 0.1918,680 matched pairs,13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Primary specification, nested sensitivity: ±2 days",0.0012,−0.0998 to 0.1093,"1,143 matched pairs; 1,142 complete cases",13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
Near-coincident endpoint contrast,NDCI: chlorophyll-a minus harmful cyanobacteria,"Primary specification, nested sensitivity: ±3 days",−0.0076,−0.0962 to 0.0883,"1,386 matched pairs; 1,385 complete cases",13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
Near-coincident endpoint contrast,FAI: chlorophyll-a minus harmful cyanobacteria (secondary),"Primary specification, ±1 day 2017–2025",−0.0364,−0.2068 to 0.1799,756 matched pairs,13,"Paired-weir percentile bootstrap, 3,000 draws",not computed
